instances,feature_N2,algo_random_forest
1,0.5,0.7339691750802004
2,0.41666666666666663,0.01005033585350145
3,0.4545454545454545,0.6348782724359695
4,0.5384615384615385,0.9942522733438669
5,0.4285714285714286,0.10536051565782628
6,0.36363636363636365,0.09431067947124129
7,0.41666666666666663,0.12783337150988489
8,0.4545454545454545,0.6931471805599453
9,0.41666666666666663,0.4155154439616658
10,0.5,0.6348782724359695
11,0.4375,0.2744368457017603
12,0.4545454545454545,0.3011050927839216
13,0.3999999999999999,0.10536051565782628
14,0.5,0.4620354595965587
15,0.46153846153846156,0.1743533871447778
16,0.4545454545454545,0.040821994520255166
17,0.5454545454545454,1.6607312068216509
18,0.46153846153846156,0.2613647641344075
19,0.4545454545454545,0.06187540371808753
20,0.41666666666666663,0.4155154439616658
21,0.41666666666666663,0.13926206733350766
22,0.5,0.4462871026284195
23,0.6,1.5141277326297755
24,0.5,0.12783337150988489
25,0.4285714285714286,0.4462871026284195
26,0.5,0.19845093872383832
27,0.3999999999999999,0.06187540371808753
28,0.6,1.0788096613719298
29,0.4545454545454545,0.1743533871447778
30,0.5,0.12783337150988489
31,0.4285714285714286,0.12783337150988489
32,0.4666666666666667,0.2876820724517809
33,0.41666666666666663,0.527632742082372
34,0.4545454545454545,0.09431067947124129
35,0.4666666666666667,0.4307829160924542
36,0.3999999999999999,0.11653381625595151
37,0.4285714285714286,0.23572233352106983
38,0.5,0.030459207484708574
39,0.46153846153846156,0.16251892949777494
40,0.46153846153846156,0.31471074483970024
41,0.41666666666666663,0.07257069283483537
42,0.3846153846153846,0.08338160893905101
43,0.5714285714285714,2.5257286443082556
44,0.41666666666666663,0.05129329438755058
45,0.46153846153846156,0.07257069283483537
46,0.4666666666666667,0.08338160893905101
47,0.5,0.579818495252942
48,0.41666666666666663,0.21072103131565253
49,0.46153846153846156,0.23572233352106983
50,0.5,0.19845093872383832
51,0.4285714285714286,0.07257069283483537
52,0.3999999999999999,0.21072103131565253
53,0.6,0.5108256237659907
54,0.4666666666666667,0.31471074483970024
55,0.4545454545454545,0.07257069283483537
56,0.4545454545454545,0.6733445532637656
57,0.4545454545454545,0.13926206733350766
58,0.4285714285714286,0.040821994520255166
59,0.41666666666666663,0.10536051565782628
60,0.3999999999999999,0.16251892949777494
61,0.46153846153846156,0.31471074483970024
62,0.41666666666666663,0.07257069283483537
63,0.46153846153846156,0.10536051565782628
64,0.5,0.08338160893905101
65,0.3846153846153846,0.09431067947124129
66,0.4666666666666667,0.4155154439616658
67,0.46153846153846156,0.37106368139083207
68,0.46153846153846156,0.13926206733350766
69,0.4545454545454545,0.579818495252942
70,0.5454545454545454,0.4620354595965587
71,0.41666666666666663,0.16251892949777494
72,0.5555555555555556,0.916290731874155
73,0.5,0.4462871026284195
74,0.3999999999999999,0.06187540371808753
75,0.4444444444444444,0.843970070294529
76,0.4545454545454545,0.11653381625595151
77,0.5,0.2484613592984996
78,0.46153846153846156,0.16251892949777494
79,0.4666666666666667,0.11653381625595151
80,0.3846153846153846,0.08338160893905101
81,0.4545454545454545,0.12783337150988489
82,0.41666666666666663,0.07257069283483537
83,0.3999999999999999,0.05129329438755058
84,0.5,0.7133498878774648
85,0.3999999999999999,0.09431067947124129
86,0.46153846153846156,0.16251892949777494
87,0.5,0.6539264674066639
88,0.41666666666666663,0.09431067947124129
89,0.5,0.6931471805599453
90,0.4545454545454545,0.15082288973458366
91,0.4444444444444444,0.030459207484708574
92,0.5,0.2744368457017603
93,0.4545454545454545,0.18632957819149348
94,0.5,0.18632957819149348
95,0.4666666666666667,0.3856624808119846
96,0.4545454545454545,0.09431067947124129
97,0.5454545454545454,0.9942522733438669
98,0.4545454545454545,0.7550225842780328
99,0.3999999999999999,0.11653381625595151
100,0.5,0.6931471805599453
101,0.4375,0.2613647641344075
102,0.46153846153846156,0.23572233352106983
103,0.4666666666666667,0.19845093872383832
104,0.4545454545454545,0.10536051565782628
105,0.41666666666666663,0.12783337150988489
106,0.46153846153846156,0.19845093872383832
107,0.5454545454545454,0.616186139423817
108,0.41666666666666663,0.2231435513142097
109,0.46153846153846156,0.2231435513142097
110,0.36363636363636365,0.4155154439616658
111,0.5714285714285714,1.6094379124341003
112,0.5,0.2231435513142097
113,0.3999999999999999,0.12783337150988489
114,0.4444444444444444,0.8675005677047231
115,0.41666666666666663,0.18632957819149348
116,0.46153846153846156,0.11653381625595151
117,0.5454545454545454,1.1394342831883648
118,0.5,1.0788096613719298
119,0.5,0.5447271754416722
120,0.4285714285714286,0.2613647641344075
121,0.4666666666666667,0.4462871026284195
122,0.5833333333333334,34.538776394910684
123,0.46153846153846156,0.13926206733350766
124,0.4666666666666667,0.1743533871447778
125,0.41666666666666663,0.1743533871447778
126,0.4285714285714286,0.11653381625595151
127,0.4666666666666667,0.18632957819149348
128,0.5833333333333334,0.35667494393873245
129,0.4285714285714286,0.05129329438755058
130,0.46153846153846156,0.35667494393873245
131,0.46153846153846156,0.1743533871447778
132,0.46153846153846156,0.10536051565782628
133,0.36363636363636365,0.15082288973458366
134,0.5,0.18632957819149348
135,0.5,0.05129329438755058
136,0.5,0.3011050927839216
137,0.4545454545454545,0.12783337150988489
