24,12,33,21,2
33,17,41,18,2
21,11,29,19,2
3,15,0,1,0
9,13,4,1,0
1,9,3,1,0
6,3,10,6,1
21,6,29,15,2
18,9,22,10,1
25,9,31,17,2
5,9,4,2,0
20,12,23,12,1
8,4,9,7,1
23,8,22,9,1
6,9,4,1,0
7,13,5,1,0
33,9,37,19,2
13,4,15,7,1
12,3,14,7,1
17,1,26,11,2
34,17,39,16,2
14,8,18,9,1
7,15,4,1,0
11,13,5,3,0
7,2,10,6,1
15,6,15,8,1
11,18,7,3,0
18,8,23,10,1
21,10,31,14,2
25,11,35,19,2
24,10,32,20,2
17,6,27,12,1
19,7,24,14,2
21,7,32,18,2
1,8,4,1,0
11,16,5,1,0
0,9,1,0,0
18,7,23,8,1
12,21,4,1,0
14,22,5,3,0
31,7,37,15,2
17,1,16,6,1
17,9,24,14,2
11,18,3,3,0
9,14,5,1,0
9,20,5,0,0
26,10,25,11,1
23,9,20,10,1
7,13,6,3,0
14,9,18,8,1
14,5,11,6,1
7,0,11,6,1
24,4,34,14,2
2,2,3,2,0
25,7,24,10,1
24,9,26,13,1
20,2,20,9,1
18,7,16,9,1
19,13,30,19,2
5,13,6,1,0
21,8,19,9,1
20,4,26,15,2
11,9,21,11,1
13,9,21,11,1
21,7,32,17,2
13,6,18,9,1
33,5,42,19,2
10,16,5,1,0
9,6,15,10,1
29,11,36,14,2
6,4,21,13,2
24,12,33,17,2
24,9,28,19,2
8,14,4,2,0
30,8,38,14,2
7,14,3,2,0
7,12,4,1,0
22,9,34,18,2
19,8,19,9,1
11,13,7,1,0
5,10,6,1,0
7,9,6,1,0
1,11,3,1,0
15,19,2,1,0
15,5,16,8,1
32,9,40,17,2
33,7,41,16,2
22,9,31,14,2
7,11,2,1,0
15,6,27,15,2
4,11,3,1,0
14,17,7,2,0
16,11,24,14,1
13,8,12,9,1
20,4,25,11,1
12,2,16,9,1
7,14,6,5,0
15,7,27,20,2
20,7,27,11,2
4,11,6,1,0
18,9,25,14,2
17,8,21,11,1
6,10,5,0,0
26,11,33,19,2
26,10,27,19,2
